epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,7264.81,1.13348,2.25477,0.80958,1.02923,0,0.45646,0.22128,0.21755,0.1342,0.43119,0.20315,0.19611,0.10548,1.25373,2.53036,0.84381,1.04893,0,8.812e-05,8.812e-05,8.812e-05
50,7409.95,1.13906,2.27209,0.8166,1.02994,0,0.45804,0.21464,0.21629,0.13405,0.41523,0.20154,0.19764,0.1071,1.26089,2.52972,0.8477,1.04697,0,8.78725e-05,8.78725e-05,8.78725e-05
51,7559.04,1.13575,2.26268,0.81086,1.03333,0,0.47053,0.21421,0.21562,0.13406,0.4082,0.20195,0.19121,0.10423,1.25786,2.50915,0.8532,1.04884,0,8.7625e-05,8.7625e-05,8.7625e-05
52,7707.46,1.13148,2.2521,0.80571,1.02915,0,0.46221,0.21742,0.21472,0.13328,0.41782,0.20177,0.19423,0.10608,1.25343,2.50719,0.84414,1.04699,0,8.73775e-05,8.73775e-05,8.73775e-05
53,7855.07,1.12681,2.24182,0.80489,1.0271,0,0.45209,0.22828,0.21908,0.13525,0.44069,0.19362,0.19285,0.10444,1.25367,2.50385,0.83927,1.04969,0,8.713e-05,8.713e-05,8.713e-05
54,8000.36,1.13062,2.25103,0.80841,1.0296,0,0.47055,0.23026,0.22211,0.13672,0.43368,0.20878,0.19998,0.10868,1.25299,2.51355,0.84158,1.04954,0,8.68825e-05,8.68825e-05,8.68825e-05
55,8147.63,1.12801,2.25318,0.80573,1.02568,0,0.40527,0.22202,0.21848,0.13478,0.36888,0.19973,0.19473,0.10745,1.25863,2.51766,0.84619,1.05001,0,8.6635e-05,8.6635e-05,8.6635e-05
56,8294.87,1.12301,2.24408,0.80077,1.02452,0,0.4266,0.22208,0.22027,0.13604,0.39774,0.1995,0.19696,0.10742,1.25288,2.49789,0.83973,1.04772,0,8.63875e-05,8.63875e-05,8.63875e-05
57,8445.17,1.12769,2.24343,0.802,1.02586,0,0.44718,0.21995,0.21698,0.13417,0.42079,0.19605,0.19556,0.10684,1.26228,2.50807,0.84893,1.05206,0,8.614e-05,8.614e-05,8.614e-05
58,8592.38,1.12554,2.24571,0.79811,1.02504,0,0.40052,0.22539,0.22005,0.135,0.3668,0.20244,0.19564,0.10712,1.25489,2.51762,0.84447,1.0527,0,8.58925e-05,8.58925e-05,8.58925e-05
59,8740.61,1.12394,2.2377,0.79739,1.02289,0,0.41605,0.21883,0.21819,0.13481,0.37091,0.19868,0.19748,0.10745,1.2556,2.501,0.84206,1.04758,0,8.5645e-05,8.5645e-05,8.5645e-05
60,8888.55,1.12372,2.23842,0.79368,1.02249,0,0.42094,0.21844,0.21628,0.13433,0.39848,0.19896,0.19821,0.10785,1.25643,2.51892,0.84971,1.0511,0,8.53975e-05,8.53975e-05,8.53975e-05
61,9035.27,1.11954,2.2289,0.7914,1.02244,0,0.42041,0.22054,0.21732,0.13476,0.37862,0.19789,0.1951,0.1075,1.26039,2.51601,0.84025,1.05232,0,8.515e-05,8.515e-05,8.515e-05
62,9183.78,1.12218,2.23549,0.79156,1.02146,0,0.43403,0.22196,0.21875,0.13518,0.37101,0.20384,0.19587,0.10791,1.25852,2.5143,0.84136,1.05421,0,8.49025e-05,8.49025e-05,8.49025e-05
63,9334.22,1.11619,2.22575,0.79056,1.02258,0,0.41245,0.22071,0.21779,0.13458,0.36634,0.20506,0.19696,0.10661,1.24973,2.49468,0.83482,1.04746,0,8.4655e-05,8.4655e-05,8.4655e-05
64,9482.8,1.11746,2.21444,0.78802,1.02292,0,0.41273,0.22082,0.21726,0.13478,0.3804,0.19946,0.19575,0.10627,1.24654,2.50877,0.82866,1.04901,0,8.44075e-05,8.44075e-05,8.44075e-05
65,9630.33,1.11554,2.2162,0.78768,1.02008,0,0.41871,0.22289,0.22078,0.13507,0.37671,0.19892,0.19602,0.10783,1.2516,2.50147,0.8321,1.0477,0,8.416e-05,8.416e-05,8.416e-05
66,9777.92,1.11776,2.21559,0.78574,1.01999,0,0.41319,0.22713,0.22077,0.13524,0.38508,0.20199,0.19757,0.10675,1.26025,2.51415,0.83538,1.0521,0,8.39125e-05,8.39125e-05,8.39125e-05
67,9924.08,1.11309,2.20941,0.78341,1.01807,0,0.43194,0.21804,0.2208,0.13596,0.38637,0.19661,0.19675,0.10754,1.26468,2.51257,0.84131,1.05371,0,8.3665e-05,8.3665e-05,8.3665e-05
68,10070.5,1.1111,2.2068,0.78098,1.01717,0,0.41215,0.22606,0.21935,0.13579,0.36642,0.1984,0.19704,0.10775,1.25327,2.49734,0.83385,1.05043,0,8.34175e-05,8.34175e-05,8.34175e-05
69,10218.8,1.11055,2.20537,0.77667,1.01813,0,0.40961,0.22868,0.22174,0.13584,0.38997,0.20586,0.20296,0.10831,1.25476,2.5021,0.83065,1.05186,0,8.317e-05,8.317e-05,8.317e-05
70,10367.1,1.11194,2.20528,0.77802,1.01725,0,0.40256,0.22317,0.22051,0.13531,0.37886,0.19661,0.19626,0.10791,1.25737,2.5044,0.83596,1.05135,0,8.29225e-05,8.29225e-05,8.29225e-05
71,10515.7,1.10948,2.20182,0.77823,1.01705,0,0.43831,0.22378,0.22258,0.13616,0.41348,0.19523,0.19851,0.1086,1.25741,2.49749,0.83325,1.05267,0,8.2675e-05,8.2675e-05,8.2675e-05
72,10661.8,1.10568,2.18552,0.77614,1.01575,0,0.41481,0.23038,0.22208,0.13639,0.39124,0.20311,0.20225,0.10909,1.25662,2.50679,0.83515,1.05285,0,8.24275e-05,8.24275e-05,8.24275e-05
73,10808.6,1.10496,2.19259,0.77133,1.01322,0,0.4186,0.22569,0.21857,0.13475,0.38418,0.20002,0.19741,0.10776,1.25534,2.51045,0.83755,1.05243,0,8.218e-05,8.218e-05,8.218e-05
74,10957.2,1.1028,2.18565,0.77022,1.01335,0,0.44466,0.2177,0.2186,0.13549,0.39901,0.1991,0.19875,0.10759,1.25652,2.50942,0.83532,1.05361,0,8.19325e-05,8.19325e-05,8.19325e-05
75,11104.3,1.1026,2.18752,0.76816,1.01153,0,0.41873,0.22345,0.21878,0.13619,0.38551,0.20522,0.19997,0.10872,1.25995,2.50839,0.84345,1.0518,0,8.1685e-05,8.1685e-05,8.1685e-05
76,11249.3,1.1042,2.19056,0.7728,1.01224,0,0.41037,0.22425,0.2199,0.13667,0.39576,0.20378,0.20126,0.1091,1.25931,2.50745,0.84037,1.0507,0,8.14375e-05,8.14375e-05,8.14375e-05
77,11397.6,1.10194,2.18482,0.76912,1.01375,0,0.39541,0.22616,0.21913,0.13597,0.36168,0.20448,0.19733,0.10805,1.25736,2.50739,0.83535,1.05115,0,8.119e-05,8.119e-05,8.119e-05
78,11541.4,1.10175,2.18034,0.76574,1.01103,0,0.41244,0.22172,0.21982,0.13618,0.37259,0.20057,0.19712,0.10726,1.25436,2.50876,0.83445,1.05101,0,8.09425e-05,8.09425e-05,8.09425e-05
79,11690.5,1.0969,2.16893,0.76441,1.01089,0,0.41223,0.22007,0.2201,0.13592,0.37053,0.20006,0.19734,0.10704,1.24763,2.50452,0.82895,1.04948,0,8.0695e-05,8.0695e-05,8.0695e-05
80,11835.9,1.1016,2.17687,0.76606,1.01316,0,0.4098,0.2244,0.21961,0.13584,0.36999,0.20656,0.19971,0.10848,1.24931,2.50482,0.82885,1.04945,0,8.04475e-05,8.04475e-05,8.04475e-05
81,11983.8,1.10066,2.18449,0.76414,1.01084,0,0.4217,0.2263,0.22089,0.13584,0.38452,0.20257,0.19813,0.10768,1.25127,2.50971,0.82955,1.0502,0,8.02e-05,8.02e-05,8.02e-05
82,12132.9,1.09699,2.16609,0.75966,1.00838,0,0.42495,0.2212,0.2214,0.13623,0.37926,0.20162,0.20012,0.10791,1.2539,2.50473,0.82859,1.04993,0,7.99525e-05,7.99525e-05,7.99525e-05
83,12281.4,1.10113,2.17842,0.75903,1.01062,0,0.44253,0.21805,0.22278,0.137,0.37772,0.20453,0.20065,0.10864,1.25125,2.50224,0.82659,1.05221,0,7.9705e-05,7.9705e-05,7.9705e-05
84,12430.2,1.09624,2.17413,0.75667,1.00793,0,0.41919,0.22573,0.22228,0.13738,0.37511,0.2057,0.19943,0.10869,1.25566,2.50897,0.82662,1.05575,0,7.94575e-05,7.94575e-05,7.94575e-05
85,12578.7,1.09525,2.16352,0.75716,1.00877,0,0.41713,0.22405,0.22157,0.1371,0.3851,0.20404,0.19887,0.10926,1.25084,2.50201,0.8264,1.05437,0,7.921e-05,7.921e-05,7.921e-05
86,12726.7,1.09469,2.17085,0.756,1.00974,0,0.43491,0.22253,0.22105,0.13723,0.35864,0.20847,0.19984,0.10984,1.24989,2.49781,0.82815,1.05355,0,7.89625e-05,7.89625e-05,7.89625e-05
87,12874.6,1.09113,2.15432,0.74978,1.00646,0,0.38797,0.22971,0.22016,0.13633,0.34406,0.20506,0.19705,0.10826,1.25169,2.49661,0.83052,1.05309,0,7.8715e-05,7.8715e-05,7.8715e-05
88,13020.1,1.09146,2.15307,0.75288,1.00677,0,0.39563,0.2216,0.21786,0.13536,0.37607,0.19868,0.19738,0.10728,1.25369,2.50059,0.82823,1.0527,0,7.84675e-05,7.84675e-05,7.84675e-05
89,13167.3,1.09041,2.1543,0.74842,1.00663,0,0.44757,0.22639,0.21836,0.13602,0.40538,0.20539,0.19696,0.10733,1.25362,2.49362,0.82634,1.05443,0,7.822e-05,7.822e-05,7.822e-05
90,13315.6,1.08635,2.14934,0.74886,1.00432,0,0.41304,0.22456,0.22135,0.13757,0.38238,0.2023,0.19913,0.10802,1.25585,2.50634,0.82823,1.05533,0,7.79725e-05,7.79725e-05,7.79725e-05
91,13461.5,1.08653,2.14779,0.74685,1.00492,0,0.42163,0.22476,0.22185,0.1375,0.37101,0.19894,0.19713,0.10753,1.25379,2.50909,0.82879,1.05561,0,7.7725e-05,7.7725e-05,7.7725e-05
92,13607.8,1.0897,2.15405,0.74805,1.00603,0,0.4191,0.22798,0.22177,0.13687,0.36794,0.20347,0.19932,0.1088,1.25827,2.51757,0.83544,1.05769,0,7.74775e-05,7.74775e-05,7.74775e-05
93,13755.7,1.08517,2.13959,0.74361,1.00476,0,0.43287,0.2218,0.22047,0.13592,0.4003,0.19937,0.20056,0.1091,1.2595,2.51147,0.83579,1.05641,0,7.723e-05,7.723e-05,7.723e-05
94,13902.8,1.08503,2.14748,0.74243,1.00347,0,0.43919,0.21945,0.22043,0.13613,0.40271,0.19744,0.20035,0.10922,1.25578,2.50437,0.83013,1.0562,0,7.69825e-05,7.69825e-05,7.69825e-05
95,14051.9,1.08343,2.13317,0.73861,1.00078,0,0.5155,0.2156,0.22162,0.13624,0.46749,0.19443,0.19986,0.10835,1.25812,2.50405,0.83177,1.05714,0,7.6735e-05,7.6735e-05,7.6735e-05
96,14200.3,1.0848,2.14217,0.74049,1.00332,0,0.49868,0.21588,0.22201,0.13685,0.46853,0.19505,0.19996,0.10835,1.26008,2.50606,0.82993,1.05641,0,7.64875e-05,7.64875e-05,7.64875e-05
97,14347.1,1.0808,2.135,0.74177,1.00275,0,0.44712,0.2165,0.22161,0.13649,0.41516,0.19803,0.2002,0.10818,1.25962,2.50523,0.82974,1.05627,0,7.624e-05,7.624e-05,7.624e-05
98,14495,1.08186,2.13522,0.73712,1.00104,0,0.48772,0.22127,0.22256,0.13736,0.45937,0.19901,0.20148,0.10941,1.25802,2.51138,0.82535,1.05795,0,7.59925e-05,7.59925e-05,7.59925e-05
99,14642.3,1.07994,2.12575,0.73514,1.00102,0,0.50009,0.22201,0.22343,0.13763,0.45355,0.19934,0.19956,0.10849,1.25758,2.5051,0.82606,1.05742,0,7.5745e-05,7.5745e-05,7.5745e-05
100,14788.6,1.07508,2.12754,0.73537,0.99859,0,0.5204,0.21618,0.22349,0.13731,0.46315,0.19885,0.2022,0.10889,1.25738,2.50869,0.82516,1.05727,0,7.54975e-05,7.54975e-05,7.54975e-05
101,14936.9,1.07234,2.11789,0.72964,0.99839,0,0.51072,0.21723,0.2226,0.1366,0.45269,0.20135,0.20185,0.10881,1.25839,2.51155,0.82355,1.05834,0,7.525e-05,7.525e-05,7.525e-05
102,15085.7,1.07471,2.12004,0.73464,0.99825,0,0.45235,0.21979,0.22422,0.13711,0.40192,0.20254,0.2009,0.1093,1.25836,2.51385,0.82373,1.05799,0,7.50025e-05,7.50025e-05,7.50025e-05
103,15233.4,1.08004,2.12819,0.73438,1.00084,0,0.45212,0.22273,0.22366,0.13687,0.39357,0.20416,0.20128,0.10917,1.25945,2.51715,0.82236,1.05893,0,7.4755e-05,7.4755e-05,7.4755e-05
104,15381.2,1.07597,2.11651,0.73308,0.99811,0,0.45355,0.22011,0.22289,0.13744,0.38965,0.20452,0.20094,0.10926,1.25769,2.51985,0.82318,1.05875,0,7.45075e-05,7.45075e-05,7.45075e-05
105,15527.3,1.07539,2.11619,0.7301,0.99864,0,0.45862,0.22055,0.22295,0.13714,0.41416,0.19982,0.20058,0.10871,1.25606,2.5212,0.82287,1.05745,0,7.426e-05,7.426e-05,7.426e-05
106,15676.8,1.07513,2.11241,0.72704,0.9972,0,0.46128,0.2174,0.22255,0.13724,0.42013,0.1991,0.20065,0.10878,1.2554,2.52144,0.8203,1.05719,0,7.40125e-05,7.40125e-05,7.40125e-05
107,15825.1,1.07215,2.11455,0.72737,0.99732,0,0.47269,0.22126,0.22334,0.13684,0.42272,0.1995,0.20086,0.10846,1.254,2.52077,0.82081,1.0572,0,7.3765e-05,7.3765e-05,7.3765e-05
108,16000.9,1.07281,2.10277,0.72371,0.99679,0,0.46136,0.21748,0.22173,0.13681,0.42564,0.19923,0.20094,0.10869,1.25549,2.51484,0.82127,1.05769,0,7.35175e-05,7.35175e-05,7.35175e-05
109,16181.2,1.06701,2.10296,0.72025,0.99342,0,0.47594,0.21432,0.22185,0.13667,0.42389,0.19859,0.20107,0.10865,1.25526,2.51675,0.82156,1.05825,0,7.327e-05,7.327e-05,7.327e-05
110,16358.3,1.06891,2.1046,0.72231,0.99514,0,0.46448,0.21538,0.22157,0.13691,0.43097,0.19581,0.20095,0.10946,1.25631,2.51714,0.82233,1.05907,0,7.30225e-05,7.30225e-05,7.30225e-05
111,16533.6,1.06905,2.10501,0.72423,0.997,0,0.46922,0.21562,0.22202,0.13729,0.42665,0.1964,0.20174,0.10932,1.25672,2.51753,0.82158,1.05974,0,7.2775e-05,7.2775e-05,7.2775e-05
